emp_id,emp_class,branch_id,peer_cluster,is_on_notice_period,performance_score,peer_cluster_id,join_date,zone_id,role_level,is_new_hire
EMP_1046,CLERK,BR_10,14,0,2.44,1,2022-11-07,Tier-2,3,0
EMP_1047,CLERK,BR_10,1,0,1.87,1,2026-03-03,Tier-2,1,1
EMP_1048,CLERK,BR_07,7,0,4.7,2,2026-03-20,Tier-1,2,1
EMP_1049,CLERK,BR_14,1,0,3.07,1,2023-04-22,Tier-2,3,0
EMP_1050,CLERK,BR_19,10,0,3.0,2,2023-12-23,Tier-3,1,0
EMP_1051,CLERK,BR_20,13,0,4.02,1,2023-05-24,Tier-3,2,0
EMP_1052,MANAGER,BR_11,2,0,2.83,4,2021-05-07,Tier-2,3,0
EMP_1053,CLERK,BR_15,7,0,3.82,2,2022-02-09,Tier-2,1,0
EMP_1054,CLERK,BR_15,14,0,1.73,2,2024-11-19,Tier-2,2,0
EMP_1055,CLERK,BR_15,11,0,2.24,2,2025-04-11,Tier-2,3,0
EMP_1056,CLERK,BR_07,4,0,2.9,2,2024-02-21,Tier-1,1,0
EMP_1057,CLERK,BR_17,8,0,3.54,2,2023-01-24,Tier-3,2,0
EMP_1058,CLERK,BR_16,11,0,3.75,1,2022-01-28,Tier-3,3,0
EMP_1059,MANAGER,BR_06,4,0,1.33,3,2023-05-26,Tier-1,1,0
EMP_1060,CLERK,BR_03,6,0,1.45,2,2022-01-31,Tier-1,2,0
EMP_1061,MANAGER,BR_10,13,0,4.71,3,2021-07-02,Tier-2,3,0
EMP_1062,CLERK,BR_17,7,0,4.35,2,2022-03-20,Tier-3,1,0
EMP_1063,CLERK,BR_20,7,0,1.48,1,2023-05-28,Tier-3,2,0
EMP_1064,CLERK,BR_11,3,0,2.15,2,2024-01-02,Tier-2,3,0
EMP_1065,CLERK,BR_03,7,0,1.76,2,2022-11-21,Tier-1,1,0
EMP_1066,CLERK,BR_08,8,0,3.4,1,2021-09-17,Tier-2,2,0
EMP_1067,CLERK,BR_10,2,0,2.13,1,2022-04-25,Tier-2,3,0
EMP_1068,MANAGER,BR_08,6,0,3.24,3,2023-02-11,Tier-2,1,0
EMP_1069,MANAGER,BR_07,3,0,1.34,4,2022-06-07,Tier-1,2,0
EMP_1070,CLERK,BR_05,14,0,1.11,2,2023-11-24,Tier-1,3,0
EMP_1071,MANAGER,BR_01,9,0,1.85,4,2026-02-22,Tier-1,1,0
EMP_1072,CLERK,BR_02,8,0,2.93,1,2026-03-04,Tier-1,2,1
EMP_1073,CLERK,BR_08,11,0,3.66,1,2023-03-31,Tier-2,3,0
EMP_1074,MANAGER,BR_16,14,0,4.13,3,2023-09-13,Tier-3,1,0
EMP_1075,MANAGER,BR_20,2,1,2.36,3,2026-03-09,Tier-3,2,1
EMP_1076,CLERK,BR_03,13,1,2.63,2,2024-11-12,Tier-1,3,0
EMP_1077,CLERK,BR_15,1,0,3.45,2,2023-06-03,Tier-2,1,0
EMP_1078,CLERK,BR_14,4,0,4.79,1,2025-10-31,Tier-2,2,0
EMP_1079,CLERK,BR_19,12,0,1.02,2,2023-05-19,Tier-3,3,0
EMP_1080,CLERK,BR_07,12,0,2.31,2,2026-03-16,Tier-1,1,1
EMP_1081,CLERK,BR_13,13,0,3.9,2,2021-09-06,Tier-2,2,0
EMP_1082,MANAGER,BR_16,6,0,4.64,3,2024-04-06,Tier-3,3,0
EMP_1083,CLERK,BR_13,5,0,4.51,2,2023-12-30,Tier-2,1,0
EMP_1084,MANAGER,BR_08,14,0,2.49,3,2022-08-06,Tier-2,2,0
EMP_1085,MANAGER,BR_05,12,0,1.12,4,2022-10-22,Tier-1,3,0
EMP_1086,CLERK,BR_01,8,0,1.01,2,2025-10-10,Tier-1,1,0
EMP_1087,CLERK,BR_04,4,0,1.62,1,2023-06-24,Tier-1,2,0
EMP_1088,MANAGER,BR_14,13,0,1.1,3,2024-01-31,Tier-2,3,0
EMP_1089,CLERK,BR_08,0,0,1.06,1,2023-10-12,Tier-2,1,0
EMP_1090,CLERK,BR_06,4,0,1.7,1,2026-03-05,Tier-1,2,1
EMP_1091,CLERK,BR_17,11,0,2.68,2,2025-02-23,Tier-3,3,0
EMP_1092,CLERK,BR_15,4,0,3.2,2,2023-02-27,Tier-2,1,0
EMP_1093,CLERK,BR_02,13,0,4.54,1,2024-09-29,Tier-1,2,0
EMP_1094,CLERK,BR_18,9,0,2.9,1,2021-07-02,Tier-3,3,0
EMP_1095,CLERK,BR_08,9,0,3.75,1,2023-05-21,Tier-2,1,0
EMP_1096,CLERK,BR_04,10,0,4.2,1,2022-12-04,Tier-1,2,0
EMP_1097,MANAGER,BR_15,7,0,2.29,4,2023-03-19,Tier-2,3,0
EMP_1098,MANAGER,BR_05,13,0,3.89,4,2026-03-13,Tier-1,1,1
EMP_1099,CLERK,BR_15,2,0,3.77,2,2023-05-19,Tier-2,2,0
EMP_1100,CLERK,BR_17,7,0,1.39,2,2022-06-20,Tier-3,3,0
EMP_1101,MANAGER,BR_18,8,0,4.24,3,2023-11-19,Tier-3,1,0
EMP_1102,CLERK,BR_20,7,0,2.53,1,2025-06-21,Tier-3,2,0
EMP_1103,MANAGER,BR_11,5,0,1.87,4,2022-10-02,Tier-2,3,0
EMP_1104,CLERK,BR_15,5,0,1.63,2,2024-12-20,Tier-2,1,0
EMP_1105,CLERK,BR_20,8,0,4.74,1,2023-08-01,Tier-3,2,0
EMP_1106,CLERK,BR_17,12,0,2.13,2,2024-03-04,Tier-3,3,0
EMP_1107,MANAGER,BR_14,8,0,4.1,3,2026-02-28,Tier-2,1,0
EMP_1108,CLERK,BR_18,6,0,4.3,1,2021-07-07,Tier-3,2,0
EMP_1109,CLERK,BR_15,7,0,4.74,2,2024-09-20,Tier-2,3,0
EMP_1110,CLERK,BR_06,14,0,3.43,1,2022-01-01,Tier-1,1,0
EMP_1111,MANAGER,BR_16,5,0,1.72,3,2025-04-17,Tier-3,2,0
EMP_1112,CLERK,BR_15,13,0,1.4,2,2024-10-16,Tier-2,3,0
EMP_1113,CLERK,BR_09,3,0,1.28,2,2025-12-21,Tier-2,1,0
EMP_1114,CLERK,BR_08,11,0,3.9,1,2022-12-22,Tier-2,2,0
EMP_1115,IT_ADMIN,BR_09,3,0,4.2,6,2022-06-06,Tier-2,3,0
EMP_1116,MANAGER,BR_17,9,0,4.15,4,2026-03-12,Tier-3,1,1
EMP_1117,CLERK,BR_16,6,0,1.5,1,2022-04-22,Tier-3,2,0
EMP_1118,CLERK,BR_08,3,0,2.71,1,2022-06-30,Tier-2,3,0
EMP_1119,CLERK,BR_09,13,0,1.14,2,2025-08-27,Tier-2,1,0
EMP_1120,CLERK,BR_15,12,0,2.29,2,2024-04-11,Tier-2,2,0
EMP_1121,CLERK,BR_03,6,0,2.69,2,2022-12-30,Tier-1,3,0
EMP_1122,IT_ADMIN,BR_10,0,0,2.36,5,2023-12-10,Tier-2,1,0
EMP_1123,CLERK,BR_08,5,0,4.46,1,2023-08-17,Tier-2,2,0
EMP_1124,CLERK,BR_09,11,0,4.96,2,2023-06-25,Tier-2,3,0
EMP_1125,MANAGER,BR_11,7,0,2.63,4,2023-02-16,Tier-2,1,0
EMP_1126,CLERK,BR_11,11,0,2.39,2,2026-03-24,Tier-2,2,1
EMP_1127,CLERK,BR_18,14,0,4.45,1,2025-12-23,Tier-3,3,0
EMP_1128,CLERK,BR_03,12,0,1.13,2,2023-10-22,Tier-1,1,0
EMP_1129,CLERK,BR_05,6,0,4.17,2,2025-11-05,Tier-1,2,0
EMP_1130,CLERK,BR_05,6,0,1.36,2,2021-04-17,Tier-1,3,0
EMP_1131,CLERK,BR_08,10,0,1.9,1,2024-04-14,Tier-2,1,0
EMP_1132,CLERK,BR_13,12,0,4.49,2,2025-08-24,Tier-2,2,0
EMP_1133,IT_ADMIN,BR_05,13,0,1.71,6,2023-09-15,Tier-1,3,0
EMP_1134,CLERK,BR_07,10,0,2.76,2,2022-03-09,Tier-1,1,0
EMP_1135,CLERK,BR_03,2,0,2.54,2,2024-01-07,Tier-1,2,0
EMP_1136,CLERK,BR_14,7,0,1.74,1,2021-06-29,Tier-2,3,0
EMP_1137,CLERK,BR_14,0,0,2.76,1,2023-09-10,Tier-2,1,0
EMP_1138,MANAGER,BR_11,2,0,3.56,4,2023-12-07,Tier-2,2,0
EMP_1139,MANAGER,BR_18,8,0,3.72,3,2021-05-05,Tier-3,3,0
EMP_1140,CLERK,BR_15,9,0,1.03,2,2026-03-17,Tier-2,1,1
EMP_1141,MANAGER,BR_14,5,0,2.28,3,2022-02-11,Tier-2,2,0
EMP_1142,CLERK,BR_02,13,0,3.97,1,2021-12-10,Tier-1,3,0
EMP_1143,CLERK,BR_07,1,0,2.2,2,2023-08-21,Tier-1,1,0
EMP_1144,CLERK,BR_14,13,0,4.12,1,2025-06-29,Tier-2,2,0
EMP_1145,CLERK,BR_13,13,0,2.34,2,2025-06-25,Tier-2,3,0
EMP_1146,MANAGER,BR_19,7,0,3.92,4,2024-02-27,Tier-3,1,0
EMP_1147,CLERK,BR_01,1,0,1.81,2,2024-02-05,Tier-1,2,0
EMP_1148,CLERK,BR_19,8,0,4.87,2,2026-02-18,Tier-3,3,0
EMP_1149,MANAGER,BR_13,14,0,3.01,4,2023-05-10,Tier-2,1,0
EMP_1150,CLERK,BR_16,7,0,4.55,1,2024-12-06,Tier-3,2,0
EMP_1151,CLERK,BR_01,0,0,1.63,2,2021-11-08,Tier-1,3,0
EMP_1152,MANAGER,BR_12,11,0,4.05,3,2023-08-24,Tier-2,1,0
EMP_1153,CLERK,BR_10,2,0,2.62,1,2024-11-14,Tier-2,2,0
EMP_1154,CLERK,BR_13,6,0,2.5,2,2025-11-06,Tier-2,3,0
EMP_1155,MANAGER,BR_14,13,0,3.95,3,2022-11-09,Tier-2,1,0
EMP_1156,CLERK,BR_18,10,0,3.18,1,2024-10-30,Tier-3,2,0
EMP_1157,CLERK,BR_18,2,0,4.72,1,2021-06-28,Tier-3,3,0
EMP_1158,MANAGER,BR_20,1,1,1.31,3,2025-01-10,Tier-3,1,0
EMP_1159,CLERK,BR_08,7,0,1.05,1,2021-10-09,Tier-2,2,0
EMP_1160,CLERK,BR_16,12,0,1.73,1,2021-04-20,Tier-3,3,0
EMP_1161,CLERK,BR_08,4,0,3.86,1,2024-07-08,Tier-2,1,0
EMP_1162,CLERK,BR_09,5,1,2.81,2,2025-10-04,Tier-2,2,0
EMP_1163,CLERK,BR_14,9,0,3.87,1,2022-05-12,Tier-2,3,0
EMP_1164,CLERK,BR_16,11,0,4.82,1,2026-03-09,Tier-3,1,1
EMP_1165,CLERK,BR_01,6,0,2.98,2,2022-10-22,Tier-1,2,0
EMP_1166,CLERK,BR_13,10,1,3.84,2,2025-01-04,Tier-2,3,0
EMP_1167,CLERK,BR_11,1,0,1.49,2,2024-11-20,Tier-2,1,0
EMP_1168,MANAGER,BR_13,13,1,4.24,4,2024-04-13,Tier-2,2,0
EMP_1169,MANAGER,BR_06,5,0,1.81,3,2024-12-01,Tier-1,3,0
EMP_1170,CLERK,BR_15,13,0,4.82,2,2025-04-01,Tier-2,1,0
EMP_1171,CLERK,BR_05,10,0,4.59,2,2022-11-14,Tier-1,2,0
EMP_1172,MANAGER,BR_20,13,0,4.06,3,2025-02-06,Tier-3,3,0
EMP_1173,CLERK,BR_18,8,0,1.94,1,2021-06-02,Tier-3,1,0
EMP_1174,CLERK,BR_01,6,0,4.56,2,2022-03-03,Tier-1,2,0
EMP_1175,CLERK,BR_13,5,0,3.78,2,2021-08-08,Tier-2,3,0
EMP_1176,CLERK,BR_19,10,0,3.45,2,2022-09-28,Tier-3,1,0
EMP_1177,CLERK,BR_19,11,0,1.48,2,2025-03-15,Tier-3,2,0
EMP_1178,MANAGER,BR_01,14,0,4.02,4,2024-07-13,Tier-1,3,0
EMP_1179,MANAGER,BR_03,12,0,4.38,4,2025-02-16,Tier-1,1,0
EMP_1180,CLERK,BR_14,7,1,3.35,1,2025-03-30,Tier-2,2,0
EMP_1181,CLERK,BR_05,13,0,1.96,2,2022-09-17,Tier-1,3,0
EMP_1182,CLERK,BR_15,8,0,1.46,2,2024-11-16,Tier-2,1,0
EMP_1183,MANAGER,BR_06,0,0,3.91,3,2023-01-24,Tier-1,2,0
EMP_1184,MANAGER,BR_02,9,0,1.37,3,2024-03-18,Tier-1,3,0
EMP_1185,CLERK,BR_09,1,0,3.82,2,2022-07-15,Tier-2,1,0
EMP_1186,CLERK,BR_13,3,0,3.7,2,2023-05-24,Tier-2,2,0
EMP_1187,IT_ADMIN,BR_11,10,0,1.01,6,2022-03-14,Tier-2,3,0
EMP_1188,CLERK,BR_07,10,0,3.02,2,2024-03-13,Tier-1,1,0
EMP_1189,CLERK,BR_15,14,0,3.11,2,2023-09-28,Tier-2,2,0
EMP_1190,CLERK,BR_11,4,0,2.98,2,2025-10-08,Tier-2,3,0
EMP_1191,CLERK,BR_11,3,0,1.81,2,2024-04-30,Tier-2,1,0
EMP_1192,CLERK,BR_13,11,0,1.52,2,2024-05-24,Tier-2,2,0
EMP_1193,MANAGER,BR_09,1,0,3.59,4,2023-07-27,Tier-2,3,0
EMP_1194,CLERK,BR_14,6,0,3.8,1,2026-01-08,Tier-2,1,0
EMP_1195,CLERK,BR_09,1,0,2.68,2,2021-09-07,Tier-2,2,0
EMP_1196,CLERK,BR_03,12,0,1.15,2,2025-07-24,Tier-1,3,0
EMP_1197,CLERK,BR_16,10,0,4.44,1,2024-06-24,Tier-3,1,0
EMP_1198,CLERK,BR_01,11,0,1.81,2,2024-02-19,Tier-1,2,0
EMP_1199,MANAGER,BR_18,13,0,1.78,3,2022-02-21,Tier-3,3,0
EMP_1200,CLERK,BR_02,1,0,2.92,1,2025-03-05,Tier-1,1,0
EMP_1201,CLERK,BR_12,7,0,4.76,1,2024-10-05,Tier-2,2,0
EMP_1202,MANAGER,BR_08,2,0,2.06,3,2022-10-21,Tier-2,3,0
EMP_1203,IT_ADMIN,BR_03,11,0,2.27,6,2025-09-13,Tier-1,1,0
EMP_1204,CLERK,BR_02,4,0,2.81,1,2024-12-30,Tier-1,2,0
EMP_1205,IT_ADMIN,BR_01,14,0,3.73,6,2024-03-05,Tier-1,3,0
EMP_1206,CLERK,BR_08,0,0,4.44,1,2023-09-14,Tier-2,1,0
EMP_1207,CLERK,BR_07,0,0,1.42,2,2024-01-31,Tier-1,2,0
EMP_1208,CLERK,BR_01,5,0,3.82,2,2025-11-02,Tier-1,3,0
EMP_1209,CLERK,BR_20,12,0,4.88,1,2021-10-19,Tier-3,1,0
EMP_1210,MANAGER,BR_05,0,1,3.94,4,2023-03-10,Tier-1,2,0
EMP_1211,MANAGER,BR_08,4,0,2.24,3,2022-02-05,Tier-2,3,0
EMP_1212,MANAGER,BR_05,5,0,1.5,4,2023-10-31,Tier-1,1,0
EMP_1213,CLERK,BR_16,5,1,1.62,1,2022-05-21,Tier-3,2,0
EMP_1214,IT_ADMIN,BR_04,6,0,1.83,5,2024-02-04,Tier-1,3,0
EMP_1215,MANAGER,BR_19,2,0,2.33,4,2024-01-10,Tier-3,1,0
EMP_1216,CLERK,BR_07,3,0,4.7,2,2023-02-22,Tier-1,2,0
EMP_1217,MANAGER,BR_15,8,0,1.14,4,2023-07-25,Tier-2,3,0
EMP_1218,MANAGER,BR_09,6,0,4.0,4,2022-12-18,Tier-2,1,0
EMP_1219,CLERK,BR_12,9,0,1.82,1,2026-03-14,Tier-2,2,1
EMP_1220,CLERK,BR_06,10,0,2.24,1,2026-02-19,Tier-1,3,0
EMP_1221,MANAGER,BR_20,12,0,2.34,3,2026-03-05,Tier-3,1,1
EMP_1222,CLERK,BR_20,2,0,1.46,1,2023-06-29,Tier-3,2,0
EMP_1223,MANAGER,BR_04,2,0,3.18,3,2022-02-25,Tier-1,3,0
EMP_1224,CLERK,BR_06,2,0,4.68,1,2025-02-04,Tier-1,1,0
EMP_1225,IT_ADMIN,BR_10,1,0,4.67,5,2023-07-07,Tier-2,2,0
EMP_1226,CLERK,BR_04,9,0,3.34,1,2022-05-05,Tier-1,3,0
EMP_1227,CLERK,BR_19,13,0,3.89,2,2025-09-03,Tier-3,1,0
EMP_1228,CLERK,BR_01,6,0,3.41,2,2024-03-24,Tier-1,2,0
EMP_1229,MANAGER,BR_10,9,0,2.38,3,2021-09-07,Tier-2,3,0
EMP_1230,IT_ADMIN,BR_19,10,0,1.88,6,2023-12-17,Tier-3,1,0
EMP_1231,MANAGER,BR_13,3,0,4.81,4,2024-07-04,Tier-2,2,0
EMP_1232,CLERK,BR_13,7,0,1.29,2,2023-08-17,Tier-2,3,0
EMP_1233,MANAGER,BR_07,14,0,2.42,4,2023-05-10,Tier-1,1,0
EMP_1234,CLERK,BR_03,9,0,1.14,2,2023-06-23,Tier-1,2,0
EMP_1235,MANAGER,BR_19,2,0,2.32,4,2022-03-31,Tier-3,3,0
EMP_1236,CLERK,BR_08,3,0,3.37,1,2022-07-29,Tier-2,1,0
EMP_1237,MANAGER,BR_04,7,0,1.06,3,2023-09-01,Tier-1,2,0
EMP_1238,CLERK,BR_10,10,0,1.12,1,2021-06-03,Tier-2,3,0
EMP_1239,CLERK,BR_20,4,0,1.74,1,2025-03-01,Tier-3,1,0
EMP_1240,MANAGER,BR_04,7,0,4.95,3,2025-07-14,Tier-1,2,0
EMP_1241,CLERK,BR_19,4,0,1.39,2,2024-03-30,Tier-3,3,0
EMP_1242,CLERK,BR_02,10,0,1.62,1,2025-10-03,Tier-1,1,0
EMP_1243,CLERK,BR_12,0,0,4.69,1,2025-06-14,Tier-2,2,0
EMP_1244,CLERK,BR_18,14,0,4.48,1,2023-06-17,Tier-3,3,0
EMP_1245,CLERK,BR_14,12,0,3.07,1,2021-09-07,Tier-2,1,0
EMP_1246,CLERK,BR_12,7,0,2.38,1,2023-05-01,Tier-2,2,0
EMP_1247,IT_ADMIN,BR_03,14,0,2.57,6,2022-04-04,Tier-1,3,0
EMP_1248,CLERK,BR_17,4,0,1.33,2,2021-04-10,Tier-3,1,0
EMP_1249,CLERK,BR_11,10,0,2.79,2,2023-04-27,Tier-2,2,0
EMP_1250,CLERK,BR_01,8,0,2.08,2,2024-04-05,Tier-1,3,0
EMP_1251,MANAGER,BR_14,2,0,1.31,3,2024-10-31,Tier-2,1,0
EMP_1252,IT_ADMIN,BR_16,1,0,1.56,5,2023-12-28,Tier-3,2,0
EMP_1253,IT_ADMIN,BR_04,7,0,4.2,5,2024-12-25,Tier-1,3,0
EMP_1254,MANAGER,BR_14,5,0,4.49,3,2022-02-19,Tier-2,1,0
EMP_1255,CLERK,BR_12,9,1,2.46,1,2026-01-09,Tier-2,2,0
EMP_1256,CLERK,BR_15,4,0,4.07,2,2022-09-25,Tier-2,3,0
EMP_1257,MANAGER,BR_05,10,0,4.49,4,2025-06-22,Tier-1,1,0
EMP_1258,CLERK,BR_14,6,0,4.35,1,2025-12-04,Tier-2,2,0
EMP_1259,CLERK,BR_06,11,0,1.26,1,2023-03-17,Tier-1,3,0
EMP_1260,CLERK,BR_17,4,0,2.1,2,2022-04-05,Tier-3,1,0
EMP_1261,MANAGER,BR_09,7,0,3.84,4,2025-10-07,Tier-2,2,0
EMP_1262,CLERK,BR_20,13,0,2.37,1,2023-05-14,Tier-3,3,0
EMP_1263,CLERK,BR_18,4,0,3.24,1,2023-11-06,Tier-3,1,0
EMP_1264,CLERK,BR_16,3,0,4.63,1,2024-01-15,Tier-3,2,0
EMP_1265,MANAGER,BR_15,6,0,1.01,4,2025-10-03,Tier-2,3,0
EMP_1266,MANAGER,BR_14,13,0,4.82,3,2024-01-04,Tier-2,1,0
EMP_1267,MANAGER,BR_19,7,0,3.09,4,2023-04-04,Tier-3,2,0
EMP_1268,MANAGER,BR_09,1,0,4.84,4,2025-10-02,Tier-2,3,0
EMP_1269,CLERK,BR_11,3,0,3.23,2,2023-05-18,Tier-2,1,0
EMP_1270,CLERK,BR_08,6,0,3.21,1,2026-03-29,Tier-2,2,1
EMP_1271,CLERK,BR_03,9,1,4.03,2,2024-06-16,Tier-1,3,0
EMP_1272,CLERK,BR_09,5,1,3.9,2,2023-08-30,Tier-2,1,0
EMP_1273,MANAGER,BR_15,9,0,1.83,4,2022-04-11,Tier-2,2,0
EMP_1274,CLERK,BR_08,4,0,4.16,1,2024-05-16,Tier-2,3,0
EMP_1275,CLERK,BR_15,11,0,2.34,2,2023-02-25,Tier-2,1,0
EMP_1276,CLERK,BR_19,4,0,3.99,2,2022-08-22,Tier-3,2,0
EMP_1277,CLERK,BR_20,0,0,1.74,1,2025-05-22,Tier-3,3,0
EMP_1278,CLERK,BR_13,13,0,3.83,2,2023-10-06,Tier-2,1,0
EMP_1279,MANAGER,BR_11,10,0,3.03,4,2023-10-28,Tier-2,2,0
EMP_1280,CLERK,BR_01,6,0,1.73,2,2024-10-18,Tier-1,3,0
EMP_1281,CLERK,BR_16,4,0,3.22,1,2025-11-27,Tier-3,1,0
EMP_1282,CLERK,BR_11,0,0,1.41,2,2021-07-09,Tier-2,2,0
EMP_1283,MANAGER,BR_06,9,0,2.55,3,2021-08-15,Tier-1,3,0
EMP_1284,CLERK,BR_16,13,0,3.64,1,2024-09-19,Tier-3,1,0
EMP_1285,CLERK,BR_07,10,0,1.97,2,2021-05-31,Tier-1,2,0
EMP_1286,MANAGER,BR_12,12,0,4.58,3,2021-05-24,Tier-2,3,0
EMP_1287,CLERK,BR_09,11,0,3.95,2,2024-08-02,Tier-2,1,0
EMP_1288,CLERK,BR_11,0,0,1.25,2,2021-04-26,Tier-2,2,0
EMP_1289,CLERK,BR_09,14,0,2.96,2,2024-01-23,Tier-2,3,0
EMP_1290,CLERK,BR_20,9,0,4.12,1,2021-08-14,Tier-3,1,0
EMP_1291,CLERK,BR_09,11,0,1.38,2,2024-08-03,Tier-2,2,0
EMP_1292,CLERK,BR_18,7,0,1.88,1,2024-11-26,Tier-3,3,0
EMP_1293,MANAGER,BR_01,13,0,2.28,4,2024-12-23,Tier-1,1,0
EMP_1294,CLERK,BR_17,14,0,2.44,2,2025-01-06,Tier-3,2,0
EMP_1295,CLERK,BR_07,14,0,1.07,2,2025-07-26,Tier-1,3,0
EMP_1296,MANAGER,BR_03,4,0,2.58,4,2024-03-10,Tier-1,1,0
EMP_1297,MANAGER,BR_08,12,0,3.04,3,2022-09-12,Tier-2,2,0
EMP_1298,CLERK,BR_14,12,0,2.31,1,2025-08-23,Tier-2,3,0
EMP_1299,CLERK,BR_16,3,0,2.03,1,2025-09-03,Tier-3,1,0
EMP_1300,CLERK,BR_18,9,0,1.58,1,2026-01-21,Tier-3,2,0
EMP_1301,CLERK,BR_08,12,0,4.1,1,2024-03-29,Tier-2,3,0
EMP_1302,MANAGER,BR_16,5,0,3.96,3,2022-03-25,Tier-3,1,0
EMP_1303,CLERK,BR_16,3,0,4.42,1,2024-12-04,Tier-3,2,0
EMP_1304,CLERK,BR_15,10,0,1.9,2,2026-03-27,Tier-2,3,1
EMP_1305,CLERK,BR_01,3,0,3.22,2,2025-06-03,Tier-1,1,0
EMP_1306,CLERK,BR_03,9,0,3.65,2,2026-01-11,Tier-1,2,0
EMP_1307,CLERK,BR_10,4,0,2.88,1,2022-01-09,Tier-2,3,0
EMP_1308,CLERK,BR_08,10,0,3.28,1,2023-05-12,Tier-2,1,0
EMP_1309,CLERK,BR_13,12,0,2.63,2,2022-12-03,Tier-2,2,0
EMP_1310,CLERK,BR_08,11,0,1.33,1,2024-05-03,Tier-2,3,0
EMP_1311,CLERK,BR_10,12,0,4.43,1,2025-01-16,Tier-2,1,0
