timestamp,transaction_id,emp_id,emp_class,branch_id,action_type,amount,account_touched,destination_account,ip_address,transfer_channel,records_accessed,dwell_time_seconds,raw_complaint_text,hr_remark_text,is_fraud_flag,calendar_context,login_hour,off_hours_flag
2025-10-01 09:09:04,e9ce46b9-b9ef-4a8a-b170-b7a4268828d4,EMP_1050,CLERK,BR_18,DB_Read,343551.18,ACC_6243,ACC_4029,10.18.106.240,SYSTEM,99,153.2,Standard NEFT processing — customer confirmed.,Promoted to Senior Clerk. Effective April 2026.,0,NORMAL,9,0
2025-10-01 09:10:02,752c2ff9-58da-4151-be88-90e01ed10a4e,EMP_1084,CLERK,BR_01,DB_Read,196248.18,ACC_2660,ACC_2024,10.1.11.96,SYSTEM,136,156.2,Standard NEFT processing — customer confirmed.,Medical leave approved — 3 days.,0,NORMAL,9,0
2025-10-01 09:10:11,0f88d5e5-f122-4b55-82fd-69c320a7cd23,EMP_1354,CLERK,BR_06,DB_Read,409453.71,ACC_1444,ACC_3528,10.6.68.126,SYSTEM,146,231.6,Customer query regarding statement. Clarified.,Completed fraud awareness workshop.,0,NORMAL,9,0
2025-10-01 09:11:00,be01360b-3f78-46fd-b7a6-2349d97d86fb,EMP_1389,MANAGER,BR_14,Approve,485061.0,ACC_7306,ACC_5432,10.14.180.207,NEFT,44,214.3,Account holder complained: demanded bribe and threatened to delay processing.,CBI referral recommended by internal audit committee.,1,NORMAL,9,0
2025-10-01 09:22:38,137abfeb-2d24-4b6a-8cbb-9f6f31ee05f0,EMP_1487,CLERK,BR_03,DB_Read,314054.56,ACC_4899,ACC_8229,10.3.240.3,SYSTEM,117,186.4,Loan EMI processed as per schedule.,Attended mandatory AML training.,0,NORMAL,9,0
2025-10-01 09:25:40,5d270b78-f277-4ed5-b8f0-5f95077c9f84,EMP_1159,CLERK,BR_01,System_Login,390765.79,ACC_2369,ACC_9692,10.1.209.48,SYSTEM,123,88.3,Routine account inquiry. Resolved satisfactorily.,Promoted to Senior Clerk. Effective April 2026.,0,QUARTER_END,9,0
2025-10-01 09:28:02,7c5a01c2-95f3-450c-8c47-1865fa546a75,EMP_1032,CLERK,BR_01,System_Login,33801.3,ACC_1918,ACC_4657,10.1.229.169,SYSTEM,82,241.2,KYC update verified. Documents in order.,Completed CBS upgrade training.,0,FYE,9,0
2025-10-01 09:32:47,444d306b-3297-4e7c-bff8-abc3f4004a74,EMP_1164,CLERK,BR_04,DB_Read,424383.14,ACC_8223,ACC_4717,10.4.211.43,SYSTEM,119,248.2,KYC update verified. Documents in order.,Medical leave approved — 3 days.,0,NORMAL,9,0
2025-10-01 09:37:31,17ee71b8-cfbe-4394-9421-e376c69f245a,EMP_1320,MANAGER,BR_11,Approve,510392.67,ACC_3163,ACC_7120,10.11.108.23,NEFT,34,107.4,,,0,NORMAL,9,0
2025-10-01 09:41:21,dc6330f4-627c-429a-a746-66fcd052c87d,EMP_1301,CLERK,BR_01,DB_Read,392170.45,ACC_5903,ACC_6467,10.1.108.241,SYSTEM,120,265.6,Routine account inquiry. Resolved satisfactorily.,Completed fraud awareness workshop.,0,NORMAL,9,0
2025-10-01 09:49:33,27e4a493-c581-469b-b977-449ee677822d,EMP_1202,MANAGER,BR_19,System_Login,2304126.03,ACC_7150,ACC_5961,10.19.184.242,SYSTEM,37,123.9,Signature mismatch resolved after verification.,Completed fraud awareness workshop.,0,NORMAL,9,0
2025-10-01 09:50:24,50a0f8ea-bf6e-459b-b406-4780023eb8c6,EMP_1196,MANAGER,BR_03,DB_Read,1817704.72,ACC_1857,ACC_3771,10.3.85.189,SYSTEM,48,128.1,Account balance inquiry. Normal operation.,Medical leave approved — 3 days.,0,NORMAL,9,0
2025-10-01 09:58:37,5ec48107-fc3b-4fe0-90e8-7e6ad954d11e,EMP_1092,CLERK,BR_11,System_Login,146476.69,ACC_1451,ACC_7990,10.11.49.83,SYSTEM,123,40.5,Minor delay in credit. Resolved within SLA.,Attended mandatory AML training.,0,NORMAL,9,0
2025-10-01 10:00:23,1a9f4094-c195-4ef4-bd93-c6a7eadf2995,EMP_1126,CLERK,BR_04,DB_Read,84708.56,ACC_3432,ACC_5020,10.4.198.193,SYSTEM,147,112.5,,,0,NORMAL,10,0
2025-10-01 10:02:57,601693a2-5768-4bf2-8f50-b7fef580606d,EMP_1484,CLERK,BR_16,System_Login,212228.49,ACC_9359,ACC_2951,10.16.187.158,SYSTEM,101,282.5,Minor delay in credit. Resolved within SLA.,Performance review: Satisfactory.,0,NORMAL,10,0
2025-10-01 10:03:48,cf4a1b66-392d-434e-b9df-cb881cc6f138,EMP_1411,MANAGER,BR_17,DB_Read,2421798.72,ACC_3975,ACC_1375,10.17.248.44,SYSTEM,39,273.4,IMPS transfer confirmed by customer.,Completed fraud awareness workshop.,0,NORMAL,10,0
2025-10-01 10:07:30,de708d87-7f1e-4680-b102-64e3c54720ad,EMP_1442,CLERK,BR_18,Initiate,91429.41,ACC_1867,ACC_8740,10.18.247.136,IMPS,148,137.1,Account balance inquiry. Normal operation.,Transferred to BR_05 on mutual request.,0,NORMAL,10,0
2025-10-01 10:10:54,43f2e3c9-28d7-42a5-adac-7af2a788f430,EMP_1182,CLERK,BR_08,System_Login,123539.04,ACC_5151,ACC_5214,10.8.22.129,SYSTEM,118,114.3,,,0,NORMAL,10,0
2025-10-01 10:15:49,b7063ea8-d93c-40e6-8de8-643d23b4d0cd,EMP_1165,MANAGER,BR_16,DB_Read,2322407.51,ACC_8338,ACC_8995,10.16.201.207,SYSTEM,37,164.9,Signature mismatch resolved after verification.,Transferred to BR_05 on mutual request.,0,NORMAL,10,0
2025-10-01 10:21:11,839ab657-9113-41cb-bb6e-1bdc86cbbf76,EMP_1310,CLERK,BR_14,Initiate,158602.09,ACC_9789,ACC_6734,10.14.143.69,IMPS,139,177.7,Signature mismatch resolved after verification.,Performance review: Satisfactory.,0,NORMAL,10,0
2025-10-01 10:21:17,77823167-111d-4883-8467-3476328c674d,EMP_1028,MANAGER,BR_03,DB_Read,2749198.62,ACC_9290,ACC_2579,10.3.22.16,SYSTEM,27,168.4,Standard NEFT processing — customer confirmed.,Performance review: Satisfactory.,0,NORMAL,10,0
2025-10-01 10:26:26,c0d39b34-71ed-4d1d-917d-4ddb36786008,EMP_1326,CLERK,BR_12,DB_Read,472557.92,ACC_7660,ACC_6661,10.12.252.132,SYSTEM,103,131.8,Account balance inquiry. Normal operation.,Completed fraud awareness workshop.,0,NORMAL,10,0
2025-10-01 10:36:52,d1aa0485-93e6-4b06-a100-b3df3a913b64,EMP_1493,CLERK,BR_11,System_Login,435042.77,ACC_6492,ACC_1108,10.11.48.144,SYSTEM,139,154.0,Minor delay in credit. Resolved within SLA.,Transferred to BR_05 on mutual request.,0,NORMAL,10,0
2025-10-01 10:37:28,9fec5d00-c40b-41b2-b2c6-d54463c35ebb,EMP_1489,CLERK,BR_20,Initiate,259378.43,ACC_1530,ACC_8802,10.20.254.244,NEFT,100,265.2,,,0,NORMAL,10,0
2025-10-01 10:45:05,9efbb4a6-2b70-4ae0-82d7-a3cae4d7b9e7,EMP_1365,CLERK,BR_02,Initiate,130946.78,ACC_1861,ACC_3982,10.2.81.89,NEFT,106,48.9,,,0,NORMAL,10,0
2025-10-01 10:52:34,3db794db-3f10-4059-87f3-b21369c728db,EMP_1417,CLERK,BR_04,System_Login,119830.12,ACC_7606,ACC_7979,10.4.196.14,SYSTEM,103,74.7,Account balance inquiry. Normal operation.,Completed fraud awareness workshop.,0,NORMAL,10,0
2025-10-01 10:54:35,e01b964b-c89d-42bd-9ca9-8667dc174add,EMP_1253,CLERK,BR_12,Initiate,455007.61,ACC_8146,ACC_4531,10.12.130.43,NEFT,148,299.5,Account balance inquiry. Normal operation.,Completed fraud awareness workshop.,0,NORMAL,10,0
2025-10-01 10:57:49,34ebcf61-2fe5-4dab-90fc-e992167a7b9c,EMP_1101,CLERK,BR_20,System_Login,415689.9,ACC_4360,ACC_1742,10.20.117.25,SYSTEM,119,30.3,Standard NEFT processing — customer confirmed.,Completed fraud awareness workshop.,0,NORMAL,10,0
2025-10-01 11:00:59,048e1856-b474-47e8-8b53-80c66c0b48ec,EMP_1074,CLERK,BR_06,DB_Read,465679.4,ACC_1387,ACC_2359,10.6.61.88,SYSTEM,101,266.5,Routine account inquiry. Resolved satisfactorily.,Target achieved for Q3 2025.,0,NORMAL,11,0
2025-10-01 11:04:51,9eea0eef-090e-4e7b-b0c3-8d65a6d0bd32,EMP_1393,MANAGER,BR_08,System_Login,2442813.11,ACC_4087,ACC_1563,10.8.47.158,SYSTEM,45,170.3,Routine account inquiry. Resolved satisfactorily.,Promoted to Senior Clerk. Effective April 2026.,0,NORMAL,11,0
2025-10-01 11:05:25,a7e06769-0108-4fbd-821a-2cedb650ed09,EMP_1112,CLERK,BR_11,Initiate,124701.79,ACC_3030,ACC_3478,10.11.235.104,NEFT,85,237.0,,,0,QUARTER_END,11,0
2025-10-01 11:06:23,6668144e-393b-4bfd-b5a7-df13e6a4c46c,EMP_1207,CLERK,BR_17,System_Login,466400.12,ACC_7594,ACC_2822,10.17.128.212,SYSTEM,121,89.7,Minor delay in credit. Resolved within SLA.,Annual leave approved.,0,NORMAL,11,0
2025-10-01 11:07:01,89502ed5-a5e9-405a-b015-1005d72891bc,EMP_1201,CLERK,BR_16,DB_Read,294423.33,ACC_2878,ACC_3663,10.16.187.158,SYSTEM,129,275.3,,,0,NORMAL,11,0
2025-10-01 11:09:32,af93e62f-eafb-4706-95fe-1e6158084ca4,EMP_1260,MANAGER,BR_16,Initiate,1455785.07,ACC_8121,ACC_5393,10.16.85.3,NEFT,22,206.2,Standard NEFT processing — customer confirmed.,Completed fraud awareness workshop.,0,NORMAL,11,0
2025-10-01 11:13:23,70a21f81-94a1-4b69-8ad5-600e88496340,EMP_1207,CLERK,BR_17,System_Login,385785.02,ACC_8590,ACC_6426,194.211.233.52,SYSTEM,91,123.0,Signature mismatch resolved after verification.,Target achieved for Q3 2025.,0,NORMAL,11,0
2025-10-01 11:13:35,6013f3bd-6545-43b1-8fb1-bf4c2f50f4df,EMP_1464,CLERK,BR_13,System_Login,67372.5,ACC_9645,ACC_6101,10.13.68.132,SYSTEM,84,142.5,Signature mismatch resolved after verification.,Annual leave approved.,0,NORMAL,11,0
2025-10-01 11:14:14,7c63c2ea-f70b-4c45-a93a-6c47aa30386d,EMP_1202,MANAGER,BR_19,System_Login,143898.03,ACC_8037,ACC_4073,10.19.49.96,SYSTEM,42,91.5,Standard NEFT processing — customer confirmed.,Performance review: Satisfactory.,0,NORMAL,11,0
2025-10-01 11:14:40,ae4fa68c-30ff-4b41-bbdb-6305d565cbc7,EMP_1477,CLERK,BR_19,System_Login,304112.1,ACC_8279,ACC_2357,10.19.209.44,SYSTEM,120,73.3,Minor delay in credit. Resolved within SLA.,Annual leave approved.,0,NORMAL,11,0
2025-10-01 11:15:21,cf7e18b1-5d69-4191-9289-fbb634c06d18,EMP_1037,CLERK,BR_16,System_Login,250967.36,ACC_3898,ACC_1235,10.16.201.207,SYSTEM,92,99.3,Customer query regarding statement. Clarified.,Medical leave approved — 3 days.,0,NORMAL,11,0
2025-10-01 11:18:45,e0dc9d62-1a26-47b8-90ec-a657014c71f6,EMP_1368,CLERK,BR_16,DB_Read,91169.28,ACC_4018,ACC_4834,10.16.209.206,SYSTEM,117,169.9,Account balance inquiry. Normal operation.,Performance review: Satisfactory.,0,FYE,11,0
2025-10-01 11:22:28,00663126-e558-44ba-99a4-1633d2eac315,EMP_1315,CLERK,BR_07,Initiate,400272.13,ACC_3141,ACC_2408,10.7.207.134,RTGS,148,101.0,IMPS transfer confirmed by customer.,Medical leave approved — 3 days.,0,NORMAL,11,0
2025-10-01 11:22:30,deec5e21-328d-40aa-9f39-4309cb0233da,EMP_1259,CLERK,BR_07,System_Login,20250.74,ACC_5263,ACC_5984,173.135.240.152,SYSTEM,133,189.6,Minor delay in credit. Resolved within SLA.,Completed fraud awareness workshop.,0,NORMAL,11,0
2025-10-01 11:25:10,6e499992-00c6-4543-bcee-da61123e1d84,EMP_1008,CLERK,BR_19,System_Login,30683.88,ACC_9145,ACC_3918,10.19.5.226,SYSTEM,94,227.1,IMPS transfer confirmed by customer.,Attended mandatory AML training.,0,NORMAL,11,0
2025-10-01 11:32:54,135e6c3f-3f77-497b-871f-d57505d737b1,EMP_1380,CLERK,BR_09,DB_Read,468492.49,ACC_2720,ACC_2315,10.9.173.121,SYSTEM,99,36.3,Account balance inquiry. Normal operation.,Medical leave approved — 3 days.,0,NORMAL,11,0
2025-10-01 11:33:25,2c4269ab-8c2d-4f78-ad8d-cd5a7af674ff,EMP_1019,CLERK,BR_20,System_Login,494593.37,ACC_1046,ACC_6165,158.212.27.81,SYSTEM,145,204.3,Customer verified transaction manually. No issues reported.,Target achieved for Q3 2025.,0,NORMAL,11,0
2025-10-01 11:36:31,68c5d8f0-e6cc-4112-b789-25ea75f0b9d9,EMP_1381,CLERK,BR_13,DB_Read,368910.16,ACC_6084,ACC_2517,10.13.157.28,SYSTEM,117,280.5,KYC update verified. Documents in order.,Performance review: Satisfactory.,0,QUARTER_END,11,0
2025-10-01 11:37:43,2e986ea5-6c42-4ad7-9d3e-7b99bc4f7bbc,EMP_1377,CLERK,BR_19,System_Login,10880.36,ACC_6353,ACC_7194,10.19.117.164,SYSTEM,137,130.4,Customer query regarding statement. Clarified.,Completed fraud awareness workshop.,0,NORMAL,11,0
2025-10-01 11:37:56,0b3ca787-27e6-4517-b18b-977f9d7962e4,EMP_1424,CLERK,BR_12,System_Login,351555.08,ACC_9012,ACC_5501,10.12.221.179,SYSTEM,138,269.9,,,0,FYE,11,0
2025-10-01 11:39:29,0a007faa-7018-4951-bc61-3135dec68e3b,EMP_1305,CLERK,BR_08,Initiate,12468.34,ACC_9044,ACC_3254,10.8.251.67,NEFT,138,155.7,Signature mismatch resolved after verification.,Performance review: Satisfactory.,0,NORMAL,11,0
2025-10-01 11:42:43,130bd31b-7b25-4516-849b-97f66857f0af,EMP_1290,CLERK,BR_14,System_Login,390821.94,ACC_3264,ACC_5116,194.211.233.52,SYSTEM,102,60.5,Standard NEFT processing — customer confirmed.,Completed CBS upgrade training.,0,NORMAL,11,0
2025-10-01 11:43:36,a9af6fa7-e1f8-4fc6-b0b1-7f91f871c43c,EMP_1079,CLERK,BR_09,Initiate,117582.86,ACC_3321,ACC_9182,10.9.138.168,NEFT,126,264.4,,,0,NORMAL,11,0
2025-10-01 11:45:43,34353f85-ede2-4aec-a3e7-da3fe6da5bff,EMP_1269,CLERK,BR_12,DB_Read,232821.77,ACC_8801,ACC_3592,10.12.66.7,SYSTEM,100,210.9,Signature mismatch resolved after verification.,Attended mandatory AML training.,0,NORMAL,11,0
2025-10-01 11:48:53,cdeee7e6-1329-4970-8b8e-011555faf9b8,EMP_1141,CLERK,BR_05,DB_Read,498424.28,ACC_2180,ACC_4274,10.5.0.184,SYSTEM,83,248.9,IMPS transfer confirmed by customer.,Completed fraud awareness workshop.,0,NORMAL,11,0
2025-10-01 11:51:37,3008bdf6-9ef4-4f2d-acda-f1deeba1550d,EMP_1211,IT_ADMIN,BR_03,System_Login,282.0,ACC_8347,ACC_2607,10.3.136.10,SYSTEM,56250,64.8,,,0,NORMAL,11,0
2025-10-01 11:54:57,d95d19fd-ab11-4a59-baf3-88a614514e69,EMP_1355,CLERK,BR_14,DB_Read,286946.01,ACC_1022,ACC_6120,10.14.163.39,SYSTEM,96,293.6,Standard NEFT processing — customer confirmed.,Completed CBS upgrade training.,0,NORMAL,11,0
2025-10-01 11:59:20,b4a13c97-8724-430b-ba0e-ab53e73712ef,EMP_1109,CLERK,BR_18,System_Login,314243.04,ACC_3036,ACC_8272,10.18.50.251,SYSTEM,111,144.5,KYC update verified. Documents in order.,Annual leave approved.,0,NORMAL,11,0
2025-10-01 12:00:00,d5ce56f6-6a72-44bb-8722-f7352aac75c1,EMP_1417,CLERK,BR_04,Initiate,213019.0,ACC_8000,,10.4.198.193,UPI,144,57.0,"Formal complaint filed — demanded bribe, senior manager witness present.",HR flagged for integrity review. Loan file irregularities noted by internal audit.,1,NORMAL,12,0
2025-10-01 12:03:00,d63de56a-6871-46c5-abca-c32a70dff21b,EMP_1417,CLERK,BR_04,Initiate,363748.0,ACC_8001,,10.4.198.193,UPI,101,262.9,Customer alleges forged signature on loan documents by bank official.,Performance review withheld pending Ethics Committee decision.,1,NORMAL,12,0
2025-10-01 12:06:00,d2d6ad59-1cb1-4cd0-b347-1cd54348ee0f,EMP_1417,CLERK,BR_04,Initiate,361396.0,ACC_8002,,10.4.198.193,UPI,118,280.2,Unauthorized debit reported by account holder.,Disciplinary proceedings initiated per Staff Regulation 14(3). Do not reassign.,1,NORMAL,12,0
2025-10-01 12:08:31,bbc8ac87-35c7-44a8-ae39-3ef35e7514bc,EMP_1449,CLERK,BR_06,DB_Read,163764.66,ACC_7174,ACC_9583,10.6.109.224,SYSTEM,130,281.8,Minor delay in credit. Resolved within SLA.,Annual leave approved.,0,NORMAL,12,0
2025-10-01 12:09:00,3eb8c1a9-61a4-4fd7-9283-a0ab149da9fd,EMP_1417,CLERK,BR_04,Initiate,212952.0,ACC_8003,,10.4.198.193,UPI,108,180.2,"Formal complaint filed — demanded bribe, senior manager witness present.",CBI referral recommended by internal audit committee.,1,NORMAL,12,0
2025-10-01 12:10:03,dfa7a402-cc6e-4d48-838c-bcc20284d6a3,EMP_1047,MANAGER,BR_17,System_Login,2607020.05,ACC_3765,ACC_6055,10.17.215.37,SYSTEM,45,154.0,Standard NEFT processing — customer confirmed.,Annual leave approved.,0,NORMAL,12,0
2025-10-01 12:10:08,95f41d71-7998-4632-adb9-46ee1151c606,EMP_1273,CLERK,BR_18,System_Login,480666.41,ACC_4532,ACC_2489,10.18.97.182,SYSTEM,123,253.9,Signature mismatch resolved after verification.,Completed CBS upgrade training.,0,NORMAL,12,0
2025-10-01 12:12:00,40892993-213e-49b2-adcf-661498e818e1,EMP_1417,CLERK,BR_04,Initiate,274241.0,ACC_8004,,10.4.198.193,UPI,146,49.7,Unauthorized debit reported by account holder.,Disciplinary proceedings initiated per Staff Regulation 14(3). Do not reassign.,1,NORMAL,12,0
2025-10-01 12:14:42,e33cefe4-865a-4c6c-9f28-caeeaf470e0d,EMP_1125,CLERK,BR_08,DB_Read,482566.04,ACC_5821,ACC_6137,10.8.76.34,SYSTEM,117,112.4,Customer query regarding statement. Clarified.,Annual leave approved.,0,NORMAL,12,0
2025-10-01 12:15:00,f0a31a73-1833-4c5a-8349-9e7cfa984ff4,EMP_1417,CLERK,BR_04,Initiate,306742.0,ACC_8005,,10.4.198.193,UPI,103,228.8,Account holder complained: demanded bribe and threatened to delay processing.,Show-cause notice issued. Employee failed to respond within stipulated time.,1,NORMAL,12,0
2025-10-01 12:18:00,2694e930-c9db-4752-bfec-121f4068e477,EMP_1417,CLERK,BR_04,Initiate,318750.0,ACC_8006,,10.4.198.193,UPI,89,50.7,"Customer reported that branch manager demanded bribe for loan approval. Amount: ₹50,000.",Second written warning issued. Allegations of financial impropriety being investigated.,1,NORMAL,12,0
2025-10-01 12:18:21,74fcbec7-9c55-43f5-a167-798d40c9869f,EMP_1341,CLERK,BR_05,Initiate,258069.19,ACC_2021,ACC_1010,10.5.232.210,RTGS,105,288.5,Customer verified transaction manually. No issues reported.,Performance review: Satisfactory.,0,FYE,12,0
2025-10-01 12:18:46,d35790df-c8c3-4070-8f5a-37384b504636,EMP_1230,CLERK,BR_05,Initiate,302004.9,ACC_2545,ACC_5900,10.5.35.84,NEFT,90,216.2,Account balance inquiry. Normal operation.,Completed CBS upgrade training.,0,QUARTER_END,12,0
2025-10-01 12:19:08,bcd38ba0-584c-45c5-b9bc-a5b7a8e57ec0,EMP_1073,MANAGER,BR_17,System_Login,1598903.99,ACC_8856,ACC_7917,10.17.126.152,SYSTEM,25,281.1,,,0,NORMAL,12,0
2025-10-01 12:21:00,1c0b85a0-b9b3-4565-9a81-76fa70a5cbdd,EMP_1417,CLERK,BR_04,Initiate,388368.0,ACC_8007,,10.4.198.193,UPI,109,97.9,"Formal complaint filed — demanded bribe, senior manager witness present.",CBI referral recommended by internal audit committee.,1,NORMAL,12,0
2025-10-01 12:24:00,8877f5eb-1987-4947-aa33-b0cc3505ec39,EMP_1417,CLERK,BR_04,Initiate,445135.0,ACC_8008,,10.4.198.193,UPI,125,56.6,Second complaint this month: demanded bribe from small business owner.,HR flagged for integrity review. Loan file irregularities noted by internal audit.,1,NORMAL,12,0
2025-10-01 12:24:07,f14ba46b-d884-4bfc-b934-5c72fe6cd36d,EMP_1229,CLERK,BR_19,DB_Read,227820.02,ACC_5476,ACC_4850,10.19.49.96,SYSTEM,81,279.7,,,0,NORMAL,12,0
2025-10-01 12:24:20,84a41890-f13b-4bf7-b304-2cec0e53f3c7,EMP_1405,CLERK,BR_03,Initiate,328416.23,ACC_5435,ACC_6592,10.3.168.64,NEFT,111,234.8,Loan EMI processed as per schedule.,Completed CBS upgrade training.,0,NORMAL,12,0
2025-10-01 12:25:53,f3a66b54-5a90-452e-b5d9-d1d877051cbd,EMP_1496,MANAGER,BR_16,System_Login,2311430.36,ACC_7599,ACC_7062,10.16.201.207,SYSTEM,42,169.4,Signature mismatch resolved after verification.,Promoted to Senior Clerk. Effective April 2026.,0,NORMAL,12,0
2025-10-01 12:27:00,f90d65aa-6240-4ccf-8f6a-416dd30f7898,EMP_1417,CLERK,BR_04,Initiate,405808.0,ACC_8009,,10.4.198.193,UPI,108,178.3,Multiple customers report same employee demanding cash for expedited service.,Performance review withheld pending Ethics Committee decision.,1,NORMAL,12,0
2025-10-01 12:27:19,754eca8e-2f9e-4684-ba79-cd25f50b3b77,EMP_1405,CLERK,BR_03,Initiate,164622.73,ACC_2074,ACC_6930,10.3.94.188,NEFT,139,47.6,Routine account inquiry. Resolved satisfactorily.,Annual leave approved.,0,FYE,12,0
2025-10-01 12:27:23,2e061350-7a5f-4bfc-8b25-f82807e8ccd3,EMP_1487,CLERK,BR_03,Initiate,470730.79,ACC_9692,ACC_9276,10.3.242.91,RTGS,110,104.6,Customer verified transaction manually. No issues reported.,Promoted to Senior Clerk. Effective April 2026.,0,NORMAL,12,0
2025-10-01 12:28:27,3e44dc4a-2e2e-4848-bd8f-c1ed2601b06a,EMP_1079,CLERK,BR_09,System_Login,276084.17,ACC_2345,ACC_3226,219.88.132.105,SYSTEM,80,252.5,Loan EMI processed as per schedule.,Performance review: Satisfactory.,0,NORMAL,12,0
2025-10-01 12:31:51,7358bc15-d7f6-499b-9d9c-19b1246d8681,EMP_1328,CLERK,BR_18,System_Login,445109.61,ACC_6306,ACC_1569,10.18.71.195,SYSTEM,145,287.0,,,0,NORMAL,12,0
2025-10-01 12:33:15,cc3110b5-f2ea-403e-850f-c0463eedbe96,EMP_1017,MANAGER,BR_09,Initiate,81773.81,ACC_9840,ACC_3697,10.9.5.10,UPI,21,162.9,KYC update verified. Documents in order.,Annual leave approved.,0,NORMAL,12,0
2025-10-01 12:36:23,47c7a1a9-8aed-467d-baa5-cd686faeef1f,EMP_1191,CLERK,BR_06,Initiate,14393.35,ACC_3500,ACC_2692,10.6.107.213,IMPS,135,250.7,Signature mismatch resolved after verification.,Annual leave approved.,0,NORMAL,12,0
2025-10-01 12:37:21,d9877009-f8c1-49ab-b050-8c38981400e4,EMP_1080,CLERK,BR_09,DB_Read,170954.48,ACC_2044,ACC_4966,10.9.93.56,SYSTEM,122,292.1,Routine account inquiry. Resolved satisfactorily.,Target achieved for Q3 2025.,0,NORMAL,12,0
2025-10-01 12:37:47,9d048150-f96a-4897-96f6-88ec6e1cddc1,EMP_1475,CLERK,BR_08,Initiate,353224.37,ACC_2214,ACC_3073,10.8.171.226,NEFT,111,164.2,Account balance inquiry. Normal operation.,Transferred to BR_05 on mutual request.,0,NORMAL,12,0
2025-10-01 12:38:23,90edd7ab-6023-4bec-b6da-4f4921831ece,EMP_1098,MANAGER,BR_13,Approve,967390.23,ACC_2827,ACC_5985,10.13.169.122,RTGS,41,162.6,Minor delay in credit. Resolved within SLA.,Transferred to BR_05 on mutual request.,0,NORMAL,12,0
2025-10-01 12:38:29,a19d391c-8d06-4b8d-a444-8a82d73664c1,EMP_1411,MANAGER,BR_17,DB_Read,2956974.4,ACC_8827,ACC_2085,10.17.241.181,SYSTEM,45,73.8,IMPS transfer confirmed by customer.,Medical leave approved — 3 days.,0,NORMAL,12,0
2025-10-01 12:39:30,9a994fcc-a826-466b-9572-a4ffe28b1e25,EMP_1203,CLERK,BR_17,Initiate,333218.93,ACC_8120,ACC_9057,10.17.157.194,NEFT,101,109.7,Routine account inquiry. Resolved satisfactorily.,Completed CBS upgrade training.,0,QUARTER_END,12,0
